Alpha,Beta,BinaryCondition,Condition,Delta,Gamma,TernaryCondition,Theta
0.6575567256,0.2716156433,,AnestheticInjection,6.6784103496,0.1312572691,InBetween,1.4214507464
0.4725201715,0.1794480938,Unconscious,Anesthetized,5.5353515637,0.1023264778,Unconscious,1.0566164268
0.4603466085,0.1718748289,Conscious,AwakeEyesClosed,1.7118628468,0.0778028404,Conscious,0.5957055383
0.4864541593,0.2508940699,Conscious,AwakeEyesOpened,3.5367279776,0.1312005687,Conscious,0.964434704
0.3048727104,0.1140421898,,AntagonistInjection,2.8890106325,0.0562284574,InBetween,0.6303243859
0.540793595,0.3088200073,,RecoveryEyesClosed,3.8158530192,0.1882177597,InBetween,0.8956988226
0.3797736309,0.1876910102,,RecoveryEyesOpened,2.6182311503,0.1066649309,InBetween,0.7394941774
0.669341245,0.3714002035,,AnestheticInjection,2.6935792821,0.236900892,InBetween,1.0154491464
0.4132778788,0.1714843867,Unconscious,Anesthetized,3.8084326596,0.1084090974,Unconscious,0.8754576412
0.5342730434,0.2196070132,Conscious,AwakeEyesClosed,3.5879394196,0.1144398306,Conscious,0.7312410242
0.6311076799,0.3789619207,Conscious,AwakeEyesOpened,3.6694393134,0.2178742388,Conscious,1.0241997426
0.253022555,0.1001795175,,AntagonistInjection,1.7931609322,0.0541649447,InBetween,0.417579023
0.6118378246,0.3550929641,,RecoveryEyesClosed,5.3704139965,0.2408396655,InBetween,1.0827318453
0.3781036579,0.1982412138,,RecoveryEyesOpened,1.731592983,0.1138178836,InBetween,0.675859805
0.5688520682,0.3093093604,,AnestheticInjection,2.122015747,0.1926852079,InBetween,0.7965957239
0.3576914515,0.154636991,Unconscious,Anesthetized,3.6719899822,0.1092812587,Unconscious,0.7434429212
0.4642528811,0.1631629861,Conscious,AwakeEyesClosed,1.5272394241,0.0721566615,Conscious,0.6366263728
0.4391085249,0.2403765348,Conscious,AwakeEyesOpened,1.4977776998,0.1244274379,Conscious,0.6943595723
0.207857464,0.1060687468,,AntagonistInjection,1.5726493193,0.0764169421,InBetween,0.3376669382
0.6071236612,0.3545017085,,RecoveryEyesClosed,3.3026899739,0.206705437,InBetween,0.9162412889
0.3657326032,0.194595431,,RecoveryEyesOpened,1.5404409097,0.1095955633,InBetween,0.6121111463
